SYMBOL,SERIES,ISIN,scrip_code,VaR_Margin,ELM,Adhoc_Margin,MTF Margin,market_cap,Turnover,nse_fo,MTF Eligibility,MarKet Cap Category,SUR INDICATOR,company_name
EIDPARRY,EQ,INE126A01031,500125,12.13,3.5,0,34,12636,32.79,N,Y,Mid Cap,,EID PARRY INDIA LTD
EIEL,EQ,INE0LLY01014,544290,20.85,3.5,0,42,3867,88.94,N,Y,Small Cap,,ENVIRO INFRA ENGINEERS L
EIHOTEL,EQ,INE230A01023,500840,13.38,3.5,0,35,20421,6.31,N,Y,Large Cap,,EIH LIMITED
ELECON,EQ,INE205B01031,505700,19.76,3.5,0,41,11912,36.8,N,Y,Mid Cap,,ELECON ENG. CO. LTD
ELECTCAST,EQ,INE086A01029,500128,21.26,3.5,0,43,4934,21.47,N,Y,Small Cap,,ELECTROSTEEL CASTINGS LTD
ELGIEQUIP,EQ,INE285A01027,522074,14.83,3.5,0,36,19311,25.52,N,Y,Mid Cap,,ELGI EQUIPMENTS LTD
ELLEN,EQ,INE236E01022,544421,17.58,3.5,0,40,3932,9.25,N,Y,Small Cap,,ELLENBARRIE INDUS GASES L
EMAMILTD,EQ,INE548C01032,531162,11.57,3.5,0,33,17630,25.31,N,Y,Mid Cap,,EMAMI LIMITED
EMBDL,EQ,INE069I01010,532832,23.88,3.5,0,45,8582,16.65,N,Y,Mid Cap,Loss making,EMBASSY DEVELOPMENTS LTD
EMCURE,EQ,INE168P01015,544210,13.73,3.5,0,35,34886,39.53,N,Y,Large Cap,,EMCURE PHARMACEUTICALS L
EMIL,EQ,INE02YR01019,543626,18.42,3.5,0,40,4682,14.04,N,Y,Small Cap,,ELECTRONICS MART IND LTD
EMMVEE,EQ,INE1C6T01020,544608,16.63,3.5,0,38,23425,111.64,N,Y,Large Cap,,EMMVEE PHOTOVOLTAIC PWR L
ENDURANCE,EQ,INE913H01037,540153,13.26,3.5,0,35,38128,33.28,N,Y,Large Cap,,ENDURANCE TECHNO. LTD.
ENGINERSIN,EQ,INE510A01028,532178,18.87,3.5,0,40,14258,114.37,N,Y,Mid Cap,,ENGINEERS INDIA LTD
ENRIN,EQ,INE1NPP01017,544390,12.84,3.5,0,34,132666,174.59,N,Y,Large Cap,,SIEMENS ENERGY INDIA LTD
ENTERO,EQ,INE010601016,544122,15.71,3.5,0,37,5062,16.3,N,Y,Mid Cap,,ENTERO HEALTHCARE SOLU L
EPACK,EQ,INE0G5901015,544095,21.54,3.5,0,43,2286,70.61,N,Y,Small Cap,,EPACK DURABLE LIMITED
EPL,EQ,INE255A01020,500135,13.82,3.5,0,35,7391,12.06,N,Y,Mid Cap,,EPL LIMITED
EQUITASBNK,EQ,INE063P01018,543243,14.24,3.5,0,36,8792,42.18,N,Y,Mid Cap,,EQUITAS SMALL FIN BNK LTD
ERIS,EQ,INE406M01024,540596,12.88,3.5,0,34,20316,9.12,N,Y,Large Cap,,ERIS LIFESCIENCES LIMITED
ESCORTS,EQ,INE042A01014,500495,13.01,3.5,0,35,32787,43.64,N,Y,Large Cap,,ESCORTS KUBOTA LIMITED
EUREKAFORB,EQ,INE0KCE01017,543482,13.42,3.5,0,35,8944,5.66,N,Y,Mid Cap,,EUREKA FORBES LIMITED
EUROPRATIK,EQ,INE198501012,544519,16.28,3.5,0,40,2809,5.46,N,Y,Small Cap,,EURO PRATIK SALES LIMITED
EVEREADY,EQ,INE128A01029,531508,14.87,3.5,0,40,2660,11.44,N,Y,Small Cap,,EVEREADY INDS. IND.  LTD.
EXICOM,EQ,INE777F01014,544133,25.66,3.5,0,47,2296,240.49,N,Y,Small Cap,,EXICOM TELE SYSTEMS LTD
FACT,EQ,INE188A01015,590024,19.57,3.5,0,41,58266,146.13,N,Y,Large Cap,,FACT LTD
FDC,EQ,INE258B01022,531599,12.28,3.5,0,34,6686,13.95,N,Y,Mid Cap,,FDC LIMITED
FEDFINA,EQ,INE007N01010,544027,16.04,3.5,0,38,5646,26.15,N,Y,Mid Cap,,FEDBANK FINANCIAL SER L
FIEMIND,EQ,INE737H01014,532768,14.54,3.5,0,36,5836,12.83,N,Y,Mid Cap,,FIEM INDUSTRIES LIMITED
FILATEX,EQ,INE816B01035,526227,17.88,3.5,0,40,2386,9.38,N,Y,Small Cap,,FILATEX INDIA LTD
FINCABLES,EQ,INE235A01022,500144,16.99,3.5,0,38,17383,75.87,N,Y,Mid Cap,,FINOLEX CABLES LTD
FINEORG,EQ,INE686Y01026,541557,12.65,3.5,0,34,16160,9.69,N,Y,Mid Cap,,FINE ORGANIC IND. LTD.
FINPIPE,EQ,INE183A01024,500940,13.19,3.5,0,35,11395,28.36,N,Y,Mid Cap,,FINOLEX INDUSTRIES LTD
FIRSTCRY,EQ,INE02RE01045,544226,18.9,3.5,0,40,11842,67.57,N,Y,Mid Cap,Loss making,BRAINBEES SOLUTIONS LTD
FIVESTAR,EQ,INE128S01021,543663,16.82,3.5,0,38,14546,114.85,N,Y,Mid Cap,,FIVE-STAR BUS FIN LTD
FLUOROCHEM,EQ,INE09N301011,542812,12.72,3.5,0,34,42937,39.71,N,Y,Large Cap,,GUJARAT FLUOROCHEM LTD
FRACTAL,EQ,INE212S01015,544700,12.66,3.5,0,34,16276,53.71,N,Y,Mid Cap,,FRACTAL ANALYTICS LIMITED
FSL,EQ,INE684F01012,532809,18.81,3.5,0,40,17007,34.94,N,Y,Mid Cap,,FIRSTSOURCE SOLU. LTD.
FUSION,EQ,INE139R01012,543652,19.65,3.5,0,41,2920,10.29,N,Y,Small Cap,,FUSION FINANCE LIMITED
GABRIEL,EQ,INE524A01029,505714,20.59,3.5,0,42,17833,63.64,N,Y,Mid Cap,,GABRIEL INDIA LTD
GAEL,EQ,INE036B01030,524226,14.1,3.5,0,36,7410,10.42,N,Y,Mid Cap,,GUJARAT AMBUJA EXPORTS LT
GANDHAR,EQ,INE717W01049,544029,16.74,3.5,0,40,1756,27.64,N,Y,Small Cap,,GANDHAR OIL REFINE IND L
GANECOS,EQ,INE845D01014,514167,20.01,3.5,0,42,2384,10.44,N,Y,Small Cap,,GANESHA ECOSPHERE LIMITED
GARFIBRES,EQ,INE276A01018,509557,15.79,3.5,0,37,7327,32.27,N,Y,Mid Cap,,GARWARE TECH FIBRES LTD
GARUDA,EQ,INE0JVO01026,544271,23.85,3.5,0,45,1711,37.01,N,Y,Small Cap,,GARUDA CONSTRUCT N ENG L
GATEWAY,EQ,INE079J01017,543489,12.55,3.5,0,40,3090,6.71,N,Y,Small Cap,,GATEWAY DISTRIPARKS LTD
GENUSPOWER,EQ,INE955D01029,530343,18.07,3.5,13.43,53,10616,55.61,N,Y,Mid Cap,,GENUS POWER INFRASTRU LTD
GESHIP,EQ,INE017A01032,500620,15.06,3.5,0,37,21375,102.55,N,Y,Large Cap,,THE GE SHPG.LTD
GHCL,EQ,INE539A01019,500171,12.98,3.5,0,40,4012,16.85,N,Y,Small Cap,,GHCL LIMITED
GICRE,EQ,INE481Y01014,540755,12.99,3.5,0,34,63808,113.61,N,Y,Large Cap,,GENERAL INS CORP OF INDIA
GILLETTE,EQ,INE322A01010,507815,10.83,3.5,0,32,25394,18.6,N,Y,Large Cap,,GILLETTE INDIA LTD
GIPCL,EQ,INE162A01010,517300,15.88,3.5,0,40,2498,8.62,N,Y,Small Cap,,GUJ IND POW CO. LTD
GKENERGY,EQ,INE1AG301022,544525,17.92,3.5,0,40,3082,14.09,N,Y,Small Cap,,GK ENERGY LIMITED
GLAND,EQ,INE068V01023,543245,13.4,3.5,0,35,38326,158.48,N,Y,Large Cap,,GLAND PHARMA LIMITED
GLAXO,EQ,INE159A01016,500660,12.07,3.5,0,34,40092,33.83,N,Y,Large Cap,,GLAXOSMITHKLINE PHARMA LT
GLOBUSSPR,EQ,INE615I01010,533104,16.84,3.5,0,40,2527,6.15,N,Y,Small Cap,,GLOBUS SPIRITS LTD
GMDCLTD,EQ,INE131A01031,532181,21.42,3.5,0,43,18985,99.7,N,Y,Mid Cap,,GUJARAT MINERAL DEV CORP
GMMPFAUDLR,EQ,INE541A01023,505255,11.96,3.5,0,40,3619,7.57,N,Y,Small Cap,,GMM PFAUDLER LIMITED
GMRP&UI,EQ,INE0CU601026,543490,18.71,3.5,0,40,7734,19.27,N,Y,Mid Cap,,GMR POW AND URBAN INFRA L
GNA,EQ,INE934S01014,540124,17.4,3.5,0,40,1802,31.38,N,Y,Small Cap,,GNA AXLES LIMITED
GNFC,EQ,INE113A01013,500670,13.31,3.5,0,35,8199,38.34,N,Y,Mid Cap,,GUJ NAR VAL FER & CHEM L
GOCLCORP,EQ,INE077F01035,506480,19.82,3.5,0,41,2102,11.07,N,Y,Small Cap,,GOCL CORPORATION LIMITED
GODIGIT,EQ,INE03JT01014,544179,10.33,3.5,0,32,29237,46.21,N,Y,Large Cap,,GO DIGIT GENERAL INS LTD
GODREJAGRO,EQ,INE850D01014,540743,12.56,3.5,0,34,10879,5.02,N,Y,Mid Cap,,GODREJ AGROVET LIMITED
GODREJIND,EQ,INE233A01035,500164,17.15,3.5,0,39,38823,18.79,N,Y,Large Cap,,GODREJ INDUSTRIES LTD
GOKEX,EQ,INE887G01027,532630,23.15,3.5,0,45,6295,94.73,N,Y,Mid Cap,,GOKALDAS EXPORTS LTD.
GOKULAGRO,EQ,INE314T01033,539725,19.03,3.5,0,41,6516,8.44,N,Y,Mid Cap,,GOKUL AGRO RESOURCES LTD
GOLD1,EQ,INF174KA1HJ8,,11.62,3.5,0,33,13678,31.89,N,Y,Mid Cap,,KOTAK GOLD ETF
GOLDADD,EQ,INF740KA1SW3,,12.01,3.5,0,40,2303,8.63,N,Y,Small Cap,,DSPAMC - DSPGOLD
GOLDBEES,EQ,INF204KB17I5,,11.64,3.5,0,33,52392,331.9,N,Y,Large Cap,,NIP IND ETF GOLD BEES
GOLDBETA,EQ,INF789F1AUX7,,11.01,3.5,0,40,4038,7.37,N,Y,Small Cap,,UTIAMC-UTIGOLDBETA
GOLDCASE,EQ,INF0R8F01042,,11.4,3.5,0,40,2139,24.03,N,Y,Small Cap,,ZERODHAAMC - GOLDCASE
GOLDETF,EQ,INF769K01JP9,,10.9,3.5,0,40,3110,22.62,N,Y,Small Cap,,MIRAEAMC - MAGOLDETF
GOLDIAM,EQ,INE025B01025,526729,24.35,3.5,0,46,5243,74.25,N,Y,Mid Cap,,GOLDIAM INTERNATIONAL LTD
GOLDIETF,EQ,INF109KC1NT3,,11.96,3.5,0,33,25360,69.38,N,Y,Large Cap,,ICICI PRUDENTIAL GOLD ETF
GOODLUCK,EQ,INE127I01024,530655,19.85,3.5,0,41,4713,26.41,N,Y,Small Cap,,GOODLUCK INDIA LIMITED
GPIL,EQ,INE177H01039,532734,15.62,3.5,0,37,17870,42.57,N,Y,Mid Cap,,GODAWARI POW & ISP LTD
GPPL,EQ,INE517F01014,533248,13.01,3.5,0,35,7554,26.12,N,Y,Mid Cap,,GUJARAT PIPAVAV PORT LTD
GPTINFRA,EQ,INE390G01014,533761,18.44,3.5,0,40,1688,11.37,N,Y,Small Cap,,GPT INFRAPROJECTS LTD
GRANULES,EQ,INE101D01020,532482,13.2,3.5,0,35,19101,80,N,Y,Mid Cap,,GRANULES INDIA LIMITED
GRAPHITE,EQ,INE371A01025,509488,16.92,3.5,0,38,12169,52.78,N,Y,Mid Cap,,GRAPHITE INDIA LTD
GRAVITA,EQ,INE024L01027,533282,17.45,3.5,0,39,12656,30.21,N,Y,Mid Cap,,GRAVITA INDIA LIMITED
GREAVESCOT,EQ,INE224A01026,501455,18.69,3.5,0,40,4984,53.22,N,Y,Small Cap,,GREAVES COTTON LTD.
GREENLAM,EQ,INE544R01021,538979,16.04,3.5,0,38,6570,5.95,N,Y,Mid Cap,,GREENLAM INDUSTRIES LTD.
GREENPLY,EQ,INE461C01038,526797,17.03,3.5,0,40,3696,7.48,N,Y,Small Cap,,GREENPLY INDUSTRIES LTD
GRINDWELL,EQ,INE536A01023,506076,12.86,3.5,0,34,23566,14.1,N,Y,Large Cap,,GRINDWELL NORTON LIMITED
GRINFRA,EQ,INE201P01022,543317,12.09,3.5,0,34,9444,5.23,N,Y,Mid Cap,,G R INFRAPROJECTS LIMITED
GROWW,EQ,INE0HOQ01053,544603,16.13,3.5,0,38,125277,890,N,Y,Large Cap,,BILLIONBRAINS GARAGE VN L
GRSE,EQ,INE382Z01011,542011,22.49,3.5,0,44,31876,293.15,N,Y,Large Cap,,GARDEN REACH SHIP&ENG LTD
GRWRHITECH,EQ,INE291A01017,500655,25.4,3.5,0,47,15494,50.7,N,Y,Mid Cap,,GARWARE HI-TECH FILMS LTD
GSFC,EQ,INE026A01025,500690,13.14,3.5,0,35,6531,13.66,N,Y,Mid Cap,,GUJ STATE FERT & CHEM LTD
GSPCROP,EQ,INE713R01022,544733,9.52,3.5,0,40,1962,8.71,N,Y,Small Cap,,GSP CROP SCIENCE LIMITED
GTLINFRA,EQ,INE221H01019,532775,22.31,3.5,0,44,1845,13.09,N,Y,Small Cap,,GTL INFRA.LTD
GUFICBIO,EQ,INE742B01025,509079,15.23,3.5,0,40,3694,6.41,N,Y,Small Cap,,GUFIC BIOSCIENCES LTD.
GUJGASLTD,EQ,INE844O01030,539336,12.98,3.5,0,34,33841,37.93,N,Y,Large Cap,,GUJARAT GAS LIMITED
GUJTHEM,EQ,INE942C01045,506879,22.92,3.5,0,44,4372,7.32,N,Y,Small Cap,,GUJARAT THEMIS BIOSYN LTD
GULFOILLUB,EQ,INE635Q01029,538567,13.49,3.5,0,35,5253,8.62,N,Y,Mid Cap,,GULF OIL LUB. IND. LTD.
HAPPSTMNDS,EQ,INE419U01012,543227,14.12,3.5,0,36,5271,35.94,N,Y,Mid Cap,,HAPPIEST MINDS TECHNO LTD
HAPPYFORGE,EQ,INE330T01021,544057,13.2,3.5,0,35,14424,29.66,N,Y,Mid Cap,,HAPPY FORGINGS LIMITED
HARSHA,EQ,INE0JUS01029,543600,13.9,3.5,0,40,3908,10.44,N,Y,Small Cap,,HARSHA ENGINEERS INT LTD
HATHWAY,EQ,INE982F01036,533162,14.13,3.5,0,40,2092,7.96,N,Y,Small Cap,,HATHWAY CABLE & DATACOM
HBLENGINE,EQ,INE292B01021,517271,19.57,3.5,0,41,22816,97.66,N,Y,Large Cap,,HBL ENGINEERING LTD
HCC,EQ,INE549A01026,500185,22.17,3.5,0,44,7172,160.44,N,Y,Mid Cap,,HINDUSTAN CONSTRUCTION CO
HCG,EQ,INE075I01017,539787,12.49,3.5,0,34,9170,7.87,N,Y,Mid Cap,,HEALTHCARE GLOB. ENT. LTD
HDBFS,EQ,INE756I01012,544429,9.29,3.5,0,31,60596,88.75,N,Y,Large Cap,,HDB FINANCIAL SERVICES L
HDFCGOLD,EQ,INF179KC1981,,11.63,3.5,0,33,20954,56.05,N,Y,Large Cap,,HDFC GOLD ETF
HDFCSILVER,EQ,INF179KC1DI2,,23.66,3.5,0,45,7023,128.94,N,Y,Mid Cap,,HDFCAMC - HDFCSILVER
HDFCSML250,EQ,INF179KC1FB2,,7.34,2,0,25,2410,33.17,N,Y,Small Cap,,HDFCAMC - HDFCSML250
HEG,EQ,INE545A01024,509631,17.74,3.5,0,39,10146,34.37,N,Y,Mid Cap,,HEG LTD
HEMIPROP,EQ,INE0AJG01018,543242,18.09,3.5,0,40,3932,7.26,N,Y,Small Cap,Loss making,HEMISPHERE PROP IND LTD
HERITGFOOD,EQ,INE978A01027,519552,15.03,3.5,0,40,2977,10,N,Y,Small Cap,,HERITAGE FOODS LTD
HEXT,EQ,INE093A01041,544362,14.3,3.5,0,36,30212,37.58,N,Y,Large Cap,,HEXAWARE TECHNOLOGIES LTD
HGINFRA,EQ,INE926X01010,541019,16.68,3.5,0,40,3759,27.56,N,Y,Small Cap,,H.G.INFRA ENGINEERING LTD
HGS,EQ,INE170I01016,532859,13.41,3.5,0,40,1978,5.56,N,Y,Small Cap,Loss making,HINDUJA GLOBAL SOLS. LTD.
HIKAL,EQ,INE475B01022,524735,18.16,3.5,0,40,2692,8.86,N,Y,Small Cap,,HIKAL LIMITED
HINDCOPPER,EQ,INE531E01026,513599,22.15,3.5,0,44,48569,200.37,N,Y,Large Cap,,HINDUSTAN COPPER LTD
HINDOILEXP,EQ,INE345A01011,500186,19.53,3.5,0,41,2124,23.21,N,Y,Small Cap,,HINDUSTAN OIL EXPLORATION
HINDWAREAP,EQ,INE05AN01011,542905,22.04,3.5,0,44,2062,27.44,N,Y,Small Cap,,HINDWARE HME INOVATON LTD
HIRECT,EQ,INE835D01023,504036,24.37,3.5,0,46,3977,12.4,N,Y,Small Cap,,HIND RECTIFIER LIMITED
HITECH,EQ,INE106T01025,543411,18.09,3.5,0,40,1910,8.2,N,Y,Small Cap,,HI-TECH PIPES LIMITED
HLEGLAS,EQ,INE461D01028,522215,21.35,3.5,0,43,2656,18.17,N,Y,Small Cap,,HLE GLASCOAT LIMITED
HOMEFIRST,EQ,INE481N01025,543259,16.32,3.5,0,38,12139,22.06,N,Y,Mid Cap,,HOME FIRST FIN CO IND LTD
HONASA,EQ,INE0J5401028,544014,15.14,3.5,0,37,13534,45.67,N,Y,Mid Cap,,HONASA CONSUMER LIMITED
HONAUT,EQ,INE671A01010,517174,12.37,3.5,0,34,34495,30.43,N,Y,Large Cap,,HONEYWELL AUTOMATION IND
HPL,EQ,INE495S01016,540136,21.95,3.5,0,43,2441,10.93,N,Y,Small Cap,,HPL ELECTRIC & POWER LTD
HSCL,EQ,INE019C01026,500184,15.33,3.5,0,37,33451,1078.98,N,Y,Large Cap,,HIMADRI SPECIALITY CHEM L
HUBTOWN,EQ,INE703H01016,532799,21.56,3.5,0,43,3045,12.38,N,Y,Small Cap,,HUBTOWN LIMITED
HUDCO,EQ,INE031A01017,540530,15.81,3.5,0,37,41636,50.08,N,Y,Large Cap,,HSG & URBAN DEV CORPN LTD
ICICIAMC,EQ,INE346A01027,544658,9.83,3.5,0,31,166051,288.22,N,Y,Large Cap,,ICICI PRUDENTIAL AMC LTD
ICICIB22,EQ,INF109KB15Y7,,9,3.5,0,30,10514,5.76,N,Y,Mid Cap,,ICICIPRAMC - BHARATIWIN
ICIL,EQ,INE483B01026,521016,24.93,3.5,0,46,8594,97.55,N,Y,Mid Cap,ST ASM Stage - 1,INDO COUNT INDUSTRIES LTD
ICRA,EQ,INE725G01011,532835,9.05,3.5,0,31,5121,7.21,N,Y,Mid Cap,,ICRA LIMITED
IDBI,EQ,INE008A01015,500116,20.39,3.5,0,42,93460,320.67,N,Y,Large Cap,,IDBI BANK LIMITED
IFBIND,EQ,INE559A01017,505726,20.42,3.5,0,42,5090,13.66,N,Y,Mid Cap,,IFB INDUSTRIES LTD
IGIL,EQ,INE0Q9301021,544311,15.36,3.5,0,37,15223,18.91,N,Y,Mid Cap,,INTL GEMOLOGICAL INST LTD
IGL,EQ,INE203G01027,532514,12.51,3.5,0,34,23512,48.89,N,Y,Large Cap,,INDRAPRASTHA GAS LTD
IIFL,EQ,INE530B01024,532636,17.89,3.5,0,39,22334,106.06,N,Y,Large Cap,,IIFL FINANCE LIMITED
IIFLCAPS,EQ,INE489L01022,542773,20.16,3.5,0,42,10576,28.47,N,Y,Mid Cap,,IIFL CAPITAL SERVICES LTD
IKS,EQ,INE115Q01022,544309,13.75,3.5,0,35,29469,23.89,N,Y,Large Cap,,INVENTURUS KNOWLEDGE SO L
IMAGICAA,EQ,INE172N01012,539056,16.53,3.5,0,40,2825,8.67,N,Y,Small Cap,,IMAGICAAWORLD ENT LTD
IMFA,EQ,INE919H01018,533047,20.31,3.5,0,42,7462,18.68,N,Y,Mid Cap,,INDIAN METALS & FERRO
INA,EQ,INE0LGX01024,543620,15.8,3.5,0,40,2538,8.72,N,Y,Small Cap,,INSOLATION ENERGY LIMITED
INDGN,EQ,INE065X01017,544172,12.23,3.5,0,34,12695,11.78,N,Y,Mid Cap,,INDEGENE LIMITED
INDIACEM,EQ,INE383A01012,530005,14.54,3.5,0,36,11833,5.21,N,Y,Mid Cap,,THE INDIA CEMENTS LIMITED
INDIAGLYCO,EQ,INE560A01023,500201,16.88,3.5,0,38,6375,6.25,N,Y,Mid Cap,,INDIA GLYCOLS LTD
INDIAMART,EQ,INE933S01016,542726,10.74,3.5,0,32,11861,22.4,N,Y,Mid Cap,,INDIAMART INTERMESH LTD
INDIASHLTR,EQ,INE922K01024,544044,12.72,3.5,0,34,8513,8.1,N,Y,Mid Cap,,INDIA SHELTER FIN CORP L
INDIGOPNTS,EQ,INE09VQ01012,543258,13.63,3.5,0,40,4900,7.5,N,Y,Small Cap,,INDIGO PAINTS LIMITED
INDOCO,EQ,INE873D01024,532612,19.57,3.5,0,41,2189,10.77,N,Y,Small Cap,,INDOCO REMEDIES LTD.
INDOTHAI,EQ,INE337M01021,533676,19.07,3.5,0,41,2978,32.8,N,Y,Small Cap,,INDO THAI SEC LTD
INDRAMEDCO,EQ,INE681B01017,532150,18.78,3.5,0,40,3567,8.91,N,Y,Small Cap,,INDRAPRASTHA MEDICAL CORP
INDSWFTLAB,EQ,INE915B01019,532305,22.15,3.5,0,44,1681,32.97,N,Y,Small Cap,,IND SWIFT LABORATORIES LT
INGERRAND,EQ,INE177A01018,500210,13.14,3.5,0,35,14463,16.42,N,Y,Mid Cap,,INGERSOLL-RAND INDIA LTD
INNOVACAP,EQ,INE0DUT01020,544067,15.04,3.5,0,37,5402,5.48,N,Y,Mid Cap,,INNOVA CAPTAB LIMITED
INOXGREEN,EQ,INE510W01014,543667,20.54,3.5,0,42,8025,35.7,N,Y,Mid Cap,,INOX GREEN ENERGY SER LTD
INOXINDIA,EQ,INE616N01034,544046,15.26,3.5,0,37,18047,141.98,N,Y,Mid Cap,,INOX INDIA LIMITED
INTELLECT,EQ,INE306R01017,538835,17.44,3.5,0,39,10542,37.65,N,Y,Mid Cap,,INTELLECT DESIGN ARENA
INTERARCH,EQ,INE00M901018,544232,18.14,3.5,0,40,3231,12.88,N,Y,Small Cap,,INTERARCH BLDNG SOLTN LTD
IOB,EQ,INE565A01014,532388,13.53,3.5,0,35,67205,19.82,N,Y,Large Cap,,INDIAN OVERSEAS BANK
IOLCP,EQ,INE485C01029,524164,19.83,3.5,0,41,3844,32.59,N,Y,Small Cap,,IOL CHEM AND PHARMA LTD
IONEXCHANG,EQ,INE570A01022,500214,15.67,3.5,0,37,5908,31.79,N,Y,Mid Cap,,ION EXCHANGE (INDIA) LTD
IPCALAB,EQ,INE571A01038,524494,12,3.5,0,33,41131,36.3,N,Y,Large Cap,,IPCA LABORATORIES LTD
IRB,EQ,INE821I01022,532947,13.29,3.5,0,35,25750,26.85,N,Y,Large Cap,,IRB INFRA DEV LTD.
IRCON,EQ,INE962Y01021,541956,18.32,3.5,0,40,12759,26.85,N,Y,Mid Cap,,IRCON INTERNATIONAL LTD
IRCTC,EQ,INE335Y01020,542830,9.89,3.5,0,31,41220,40.86,N,Y,Large Cap,,INDIAN RAIL TOUR CORP LTD
ITBEES,EQ,INF204KB15V2,,9.49,3.5,0,40,3328,82.75,N,Y,Small Cap,,NIP IND ETF IT
ITCHOTELS,EQ,INE379A01028,544325,11.87,3.5,0,33,37192,93.85,N,Y,Large Cap,,ITC HOTELS LIMITED
ITDC,EQ,INE353K01014,532189,22.41,3.5,0,44,5174,114.41,N,Y,Mid Cap,,INDIA TOUR. DEV. CO. LTD.
ITI,EQ,INE248A01017,523610,19.18,3.5,0,41,29542,24.99,N,Y,Large Cap,,ITI LTD
IXIGO,EQ,INE0HV901016,544192,21.63,3.5,0,43,8104,41.04,N,Y,Mid Cap,,LE TRAVENUES TECHNOLOGY L
J&KBANK,EQ,INE168A01041,532209,15.82,3.5,0,37,17569,53.31,N,Y,Mid Cap,,J & K BANK LTD.
JAICORPLTD,EQ,INE070D01027,512237,20.86,3.5,0,42,2077,9.35,N,Y,Small Cap,,JAI CORP LIMITED
JAINREC,EQ,INE0YD401026,544537,19.9,3.5,0,41,12620,98.64,N,Y,Mid Cap,,JAIN RESOURCE RECYCLING L
JAMNAAUTO,EQ,INE039C01032,520051,16.61,3.5,0,38,5293,34.33,N,Y,Mid Cap,,JAMNA AUTO IND LTD
JASH,EQ,INE039O01029,544402,17.67,3.5,0,40,3392,17.25,N,Y,Small Cap,,JASH ENGINEERING LIMITED
JAYBARMARU,EQ,INE571B01036,520066,24.49,3.5,0,46,1730,28.33,N,Y,Small Cap,LT ASM Stage - 1,JAY BHARAT MARUTI LTD
JBCHEPHARM,EQ,INE572A01036,506943,9.53,3.5,0,31,35853,57.01,N,Y,Large Cap,,J B CHEMICALS AND PHARMA
JBMA,EQ,INE927D01051,532605,19.24,3.5,0,41,16661,114.86,N,Y,Mid Cap,,JBM AUTO LIMITED
JINDALSAW,EQ,INE324A01032,500378,20.05,3.5,0,42,16504,53.63,N,Y,Mid Cap,,JINDAL SAW LIMITED
JINDRILL,EQ,INE742C01031,511034,21.88,3.5,0,43,1634,19.78,N,Y,Small Cap,,JINDAL DRILLING IND. LTD
JINDWORLD,EQ,INE247D01039,531543,23.11,3.5,0,45,3097,12.58,N,Y,Small Cap,,JINDAL WORLDWIDE LTD
JISLJALEQS,EQ,INE175A01038,500219,20.26,3.5,0,42,2555,18.55,N,Y,Small Cap,,JAIN IRRIGATION SYSTEMS
JKCEMENT,EQ,INE823G01014,532644,13.11,3.5,0,35,42598,48.1,N,Y,Large Cap,,JK CEMENT LIMITED
JKIL,EQ,INE576I01022,532940,14.12,3.5,0,40,3814,5.58,N,Y,Small Cap,,JKUMAR INFR.LTD.
JKLAKSHMI,EQ,INE786A01032,500380,12.05,3.5,0,34,7457,9.54,N,Y,Mid Cap,,JK LAKSHMI CEMENT LTD
JKPAPER,EQ,INE789E01012,532162,15.83,3.5,0,37,5786,7.52,N,Y,Mid Cap,,JK PAPER LIMITED
JKTYRE,EQ,INE573A01042,530007,16.02,3.5,0,38,11617,54.65,N,Y,Mid Cap,,JK TYRE & INDUSTRIES LTD
JMFINANCIL,EQ,INE780C01023,523405,18.75,3.5,0,40,12050,56.6,N,Y,Mid Cap,,JM FINANCIAL LIMITED
JPPOWER,EQ,INE351F01018,532627,23.24,3.5,0,45,12323,225.62,N,Y,Mid Cap,,JAIPRAKASH POWER VEN. LTD
JSFB,EQ,INE953L01027,544118,16.92,3.5,0,40,4854,30,N,Y,Small Cap,,JANA SMALL FIN BANK LTD
JSL,EQ,INE220G01021,532508,14.02,3.5,0,36,57297,43,N,Y,Large Cap,,JINDAL STAINLESS LIMITED
JSLL,EQ,INE0J5801029,544476,22.11,3.5,0,44,7211,202.53,N,Y,Mid Cap,,JEENA SIKHO LIFECARE LTD
JSWCEMENT,EQ,INE718I01012,544480,10.31,3.5,0,32,18213,40.57,N,Y,Mid Cap,,JSW CEMENT LIMITED
JSWINFRA,EQ,INE880J01026,543994,13.71,3.5,0,35,71064,209.19,N,Y,Large Cap,,JSW INFRASTRUCTURE LTD
JTLIND,EQ,INE391J01032,534600,25.2,3.5,0,47,3079,28.06,N,Y,Small Cap,,JTL INDUSTRIES LIMITED
JUBLINGREA,EQ,INE0BY001018,543271,15.92,3.5,0,37,10065,16.42,N,Y,Mid Cap,,JUBILANT INGREVIA LIMITED
JUBLPHARMA,EQ,INE700A01033,530019,13.46,3.5,0,35,15495,9.4,N,Y,Mid Cap,,JUBILANT PHARMOVA LTD
JUNIORBEES,EQ,INF732E01045,,6.98,2,0,25,8312,35.51,N,Y,Mid Cap,,NIP IND ETF JUNIOR BEES
JUSTDIAL,EQ,INE599M01018,535648,13.1,3.5,0,40,4685,7.42,N,Y,Small Cap,,JUSTDIAL LTD.
JWL,EQ,INE209L01016,533272,20.08,3.5,0,42,11436,41.88,N,Y,Mid Cap,,JUPITER WAGONS LIMITED
